gender,age,mx,qx,lx,dx,ex
Male,0,0.004233,0.004224,100000,422.4,79.04
Male,1,0.000229,0.000229,99577.6,22.8,78.37
Male,2,0.000127,0.000127,99554.8,12.6,77.39
Male,3,0.000102,0.000102,99542.2,10.2,76.4
Male,4,0.000086,0.000086,99532,8.5,75.41
Male,5,0.000074,0.000074,99523.5,7.4,74.42
Male,6,0.000085,0.000085,99516.1,8.4,73.42
Male,7,0.000067,0.000067,99507.6,6.6,72.43
Male,8,0.000069,0.000069,99501,6.9,71.43
Male,9,0.00006,0.00006,99494.1,6,70.44
Male,10,0.000078,0.000078,99488.2,7.8,69.44
Male,11,0.000077,0.000077,99480.4,7.7,68.45
Male,12,0.000102,0.000102,99472.7,10.1,67.45
Male,13,0.000116,0.000116,99462.6,11.5,66.46
Male,14,0.000129,0.000129,99451.1,12.9,65.47
Male,15,0.000172,0.000172,99438.2,17.1,64.48
Male,16,0.000205,0.000205,99421.1,20.4,63.49
Male,17,0.000311,0.000311,99400.7,30.9,62.5
Male,18,0.000402,0.000402,99369.8,39.9,61.52
Male,19,0.000454,0.000454,99329.9,45.1,60.54
Male,20,0.000525,0.000525,99284.8,52.2,59.57
Male,21,0.000507,0.000507,99232.6,50.3,58.6
Male,22,0.000498,0.000497,99182.3,49.3,57.63
Male,23,0.000524,0.000524,99133,52,56.66
Male,24,0.000556,0.000556,99081.1,55.1,55.69
Male,25,0.000601,0.000601,99026,59.5,54.72
Male,26,0.000607,0.000607,98966.5,60.1,53.75
Male,27,0.00063,0.000629,98906.4,62.2,52.78
Male,28,0.000681,0.000681,98844.1,67.3,51.82
Male,29,0.000728,0.000728,98776.8,71.9,50.85
Male,30,0.000771,0.000771,98704.9,76.1,49.89
Male,31,0.000835,0.000835,98628.9,82.3,48.93
Male,32,0.000859,0.000858,98546.6,84.6,47.97
Male,33,0.000958,0.000957,98462,94.3,47.01
Male,34,0.00099,0.000989,98367.7,97.3,46.05
Male,35,0.0011,0.0011,98270.4,108.1,45.1
Male,36,0.001155,0.001155,98162.3,113.3,44.15
Male,37,0.001352,0.001351,98049,132.4,43.2
Male,38,0.001317,0.001317,97916.5,128.9,42.26
Male,39,0.001458,0.001457,97787.6,142.5,41.31
Male,40,0.001607,0.001606,97645.1,156.8,40.37
Male,41,0.001701,0.0017,97488.3,165.7,39.43
Male,42,0.00185,0.001848,97322.6,179.9,38.5
Male,43,0.002017,0.002015,97142.8,195.8,37.57
Male,44,0.002212,0.00221,96947,214.2,36.65
Male,45,0.00247,0.002467,96732.7,238.6,35.73
Male,46,0.00265,0.002646,96494.2,255.3,34.81
Male,47,0.002746,0.002743,96238.8,263.9,33.9
Male,48,0.002964,0.00296,95974.9,284.1,33
Male,49,0.003303,0.003297,95690.8,315.5,32.09
Male,50,0.003584,0.003577,95375.3,341.2,31.2
Male,51,0.003828,0.003821,95034.1,363.1,30.31
Male,52,0.004084,0.004075,94671,385.8,29.42
Male,53,0.004411,0.004402,94285.1,415,28.54
Male,54,0.004731,0.00472,93870.1,443.1,27.66
Male,55,0.005059,0.005046,93427,471.5,26.79
Male,56,0.005609,0.005593,92955.6,519.9,25.93
Male,57,0.006078,0.00606,92435.6,560.2,25.07
Male,58,0.006718,0.006695,91875.5,615.1,24.22
Male,59,0.007265,0.007239,91260.4,660.6,23.38
Male,60,0.007944,0.007912,90599.8,716.9,22.55
Male,61,0.008673,0.008636,89882.9,776.2,21.72
Male,62,0.009648,0.009601,89106.7,855.5,20.91
Male,63,0.010608,0.010552,88251.1,931.2,20.1
Male,64,0.011234,0.011171,87319.9,975.5,19.31
Male,65,0.012538,0.01246,86344.4,1075.8,18.53
Male,66,0.01395,0.013853,85268.6,1181.3,17.75
Male,67,0.014892,0.014782,84087.3,1243,17
Male,68,0.016483,0.016348,82844.3,1354.4,16.24
Male,69,0.018111,0.017949,81490,1462.6,15.5
Male,70,0.019424,0.019238,80027.3,1539.5,14.78
Male,71,0.021013,0.020795,78487.8,1632.1,14.06
Male,72,0.023044,0.022782,76855.7,1750.9,13.35
Male,73,0.026136,0.025799,75104.8,1937.6,12.65
Male,74,0.029196,0.028776,73167.2,2105.4,11.97
Male,75,0.03283,0.0323,71061.7,2295.3,11.31
Male,76,0.03638,0.03573,68766.5,2457,10.67
Male,77,0.040958,0.040136,66309.4,2661.4,10.04
Male,78,0.046233,0.045188,63648,2876.1,9.44
Male,79,0.051555,0.050259,60771.9,3054.3,8.87
Male,80,0.057764,0.056143,57717.6,3240.4,8.31
Male,81,0.064015,0.06203,54477.1,3379.2,7.77
Male,82,0.071677,0.069197,51097.9,3535.8,7.26
Male,83,0.080609,0.077486,47562.1,3685.4,6.76
Male,84,0.09128,0.087296,43876.7,3830.2,6.28
Male,85,0.10247,0.097476,40046.5,3903.6,5.84
Male,86,0.11665,0.110221,36142.9,3983.7,5.41
Male,87,0.130842,0.122808,32159.2,3949.4,5.02
Male,88,0.147828,0.137654,28209.8,3883.2,4.65
Male,89,0.16745,0.154513,24326.6,3758.8,4.32
Male,90,0.178043,0.163489,20567.8,3362.6,4.02
Male,91,0.201824,0.183325,17205.2,3154.1,3.7
Male,92,0.223296,0.200869,14051.1,2822.4,3.42
Male,93,0.250961,0.222981,11228.7,2503.8,3.16
Male,94,0.27869,0.244606,8724.9,2134.2,2.92
Male,95,0.310738,0.268951,6590.7,1772.6,2.7
