"","char.name","char.stat","char.value"
"1","Aadi Alahan","Born","13th January 2006 (See ""Background information"" below)"
"2","Aadi Alahan","Birthplace","Weatherfield General"
"3","Aadi Alahan","Residence","7 Coronation Street"
"4","Aadi Alahan","Father","Dev Alahan"
"5","Aadi Alahan","Mother","Sunita Alahan"
"6","Aadi Alahan","Sibling(s)","Shareen (half-sister) Amber Kalirai (half-sister) Asha Alahan  Two other half-siblings"
"7","Aadi Alahan","First appearance","13th January 2006"
"8","Aadi Alahan","Duration","2006, 2009 to present"
"9","Aadi Alahan","Number of appearances","388 (as of Episode 10823/4)"
"10","Aadi Alahan","Played by","Hannah, Harris & Ria Ahmed (2006)Zennon Ditchett (2009-2019) Adam Hussain (2020 to present)"
"11","Asha Alahan","Born","13th January 2006 (See ""Background information"" below)"
"12","Asha Alahan","Birthplace","Weatherfield General"
"13","Asha Alahan","Residence","7 Coronation Street"
"14","Asha Alahan","Father","Dev Alahan"
"15","Asha Alahan","Mother","Sunita Alahan"
"16","Asha Alahan","Sibling(s)","Shareen (half-sister) Amber Kalirai (half-sister) Aadi Alahan  Two other half-siblings"
"17","Asha Alahan","First appearance","13th January 2006"
"18","Asha Alahan","Duration","2006, 2009 to present"
"19","Asha Alahan","Number of appearances","471 (as of Episode 10823/4)"
"20","Asha Alahan","Played by","Hannah, Harris & Ria Ahmed (2006)Tanisha Gorey (2009 to present)"
"21","Dev Alahan","Occupation","Owner of the Corner Shop, Prima Doner and For Your Fries Only"
"22","Dev Alahan","Born","2nd March 1964"
"23","Dev Alahan","Residence","7 Coronation Street"
"24","Dev Alahan","Father","Ranjiv Alahan"
"25","Dev Alahan","Mother","Urmila Alahan"
"26","Dev Alahan","Spouse(s)","Sunita Parekh (2004)"
"27","Dev Alahan","Children","ShareenAmber Kalirai (1991)Aadi Alahan (2006)Asha Alahan (2006)Two other children"
"28","Dev Alahan","First appearance","10th November 1999"
"29","Dev Alahan","Duration","1999 to present"
"30","Dev Alahan","Number of appearances","1901 (as of Episode 10823/4)"
"31","Dev Alahan","Played by","Jimmi Harkishin"
"32","Sunita Alahan","Occupation","Shop assistant"
"33","Sunita Alahan","Born","1978"
"34","Sunita Alahan","Died","3rd April 2013"
"35","Sunita Alahan","Father","Suresh Parekh"
"36","Sunita Alahan","Mother","Mena Parekh"
"37","Sunita Alahan","Sibling(s)","Jayesh Parekh"
"38","Sunita Alahan","Spouse(s)","Dev Alahan (2004)"
"39","Sunita Alahan","Children","Aadi Alahan (2006)Asha Alahan (2006)"
"40","Sunita Alahan","First appearance","21st March 2001"
"41","Sunita Alahan","Last appearance","3rd April 2013"
"42","Sunita Alahan","Duration","2001-2006, 2009-2013"
"43","Sunita Alahan","Number of appearances","756"
"44","Sunita Alahan","Played by","Shobna Gulati"
"45","Umed Alahan","Occupation","Shop owner"
"46","Umed Alahan","Residence","India"
"47","Umed Alahan","Sibling(s)","Ranjiv Alahan"
"48","Umed Alahan","First appearance","9th March 2009"
"49","Umed Alahan","Last appearance"," 16th October 2009"
"50","Umed Alahan","Duration","2009"
"51","Umed Alahan","Number of appearances","42"
"52","Umed Alahan","Played by","Harish Patel"
"53","Christine Appleby","Occupation","Machinist"
"54","Christine Appleby","Born","19th April 1939"
"55","Christine Appleby","Birthplace","13 Coronation Street,Weatherfield"
"56","Christine Appleby","Father","George Hardman"
"57","Christine Appleby","Mother","May Hardman"
"58","Christine Appleby","Spouse(s)","Colin Appleby (1962)"
"59","Christine Appleby","First appearance","14th December 1960"
"60","Christine Appleby","Last appearance","3rd July 1963"
"61","Christine Appleby","Duration","1960-1963"
"62","Christine Appleby","Number of appearances","123"
"63","Christine Appleby","Played by","Christine Hargreaves"
"64","Angie Appleton","Occupation","Accountant"
"65","Angie Appleton","Born","9th March 1986"
"66","Angie Appleton","Birthplace","Ardwick"
"67","Angie Appleton","Residence","South Africa"
"68","Angie Appleton","Spouse(s)","Jude Appleton (2016)"
"69","Angie Appleton","Children","George Appleton (2017)"
"70","Angie Appleton","First appearance","21st August 2017"
"71","Angie Appleton","Last appearance","7th January 2019"
"72","Angie Appleton","Duration","2017-2019"
"73","Angie Appleton","Number of appearances","94"
"74","Angie Appleton","Played by","Victoria Ekanoye"
"75","George Appleton","Born","2017"
"76","George Appleton","Birthplace","South Africa"
"77","George Appleton","Residence","South Africa"
"78","George Appleton","Father","Jude Appleton"
"79","George Appleton","Mother","Angie Appleton"
"80","George Appleton","First appearance","14th August 2017"
"81","George Appleton","Last appearance","7th January 2019"
"82","George Appleton","Duration","2017-2019"
"83","George Appleton","Number of appearances","48"
"84","George Appleton","Played by","Romeo Cheetham-Karcz"
"85","Jude Appleton","Born","28th November 1984"
"86","Jude Appleton","Birthplace","Newton-le-Willows"
"87","Jude Appleton","Mother","Mary Taylor"
"88","Jude Appleton","Sibling(s)","half siblings"
"89","Jude Appleton","Spouse(s)","Angie Appleton (2016)"
"90","Jude Appleton","Children","George Appleton (2017)"
"91","Jude Appleton","First appearance","25th December 2016"
"92","Jude Appleton","Last appearance","2nd January 2019"
"93","Jude Appleton","Duration","2016-2019"
"94","Jude Appleton","Number of appearances","91"
"95","Jude Appleton","Played by","Paddy Wallace"
"96","Keith Appleyard","Occupation","Taxidermist"
"97","Keith Appleyard","Residence","Bournemouth"
"98","Keith Appleyard","Sibling(s)","Margery Appleyard"
"99","Keith Appleyard","Spouse(s)","Shirley Appleyard"
"100","Keith Appleyard","Children","Angela Harris (1964)  Lorraine  Pauline"
"101","Keith Appleyard","First appearance","23rd March 2005"
"102","Keith Appleyard","Last appearance","30th July 2006"
"103","Keith Appleyard","Duration","2005-2006"
"104","Keith Appleyard","Number of appearances","128"
"105","Keith Appleyard","Played by","Ian Redford"
"106","Lewis Archer","Occupation","Male Escort  Waiter"
"107","Lewis Archer","Born","2nd October 1950"
"108","Lewis Archer","Died","1st January 2019"
"109","Lewis Archer","First appearance","18th December 2009"
"110","Lewis Archer","Last appearance","1st January 2019"
"111","Lewis Archer","Duration","2009-2010, 2012-2013, 2018-2019"
"112","Lewis Archer","Number of appearances","186"
"113","Lewis Archer","Played by","Nigel Havers"
"114","Shirley Armitage","Occupation","Machinist"
"115","Shirley Armitage","Born","11th April 1961"
"116","Shirley Armitage","Birthplace","Weatherfield"
"117","Shirley Armitage","Residence","Gorton"
"118","Shirley Armitage","Mother","Mrs Armitage"
"119","Shirley Armitage","Sibling(s)","Franklin Armitage Lucy ArmitageFour other siblings"
"120","Shirley Armitage","First appearance","5th September 1983"
"121","Shirley Armitage","Last appearance","12th April 1989"
"122","Shirley Armitage","Duration","1983-1989"
"123","Shirley Armitage","Number of appearances","153"
"124","Shirley Armitage","Played by","Lisa Lewis"
"125","Izzy Armstrong","Occupation","Machinist at Underworld"
"126","Izzy Armstrong","Born","24th January 1986"
"127","Izzy Armstrong","Residence","28 Grayling Street"
"128","Izzy Armstrong","Father","Owen Armstrong"
"129","Izzy Armstrong","Mother","Linda Hancock"
"130","Izzy Armstrong","Sibling(s)","Katy Armstrong"
"131","Izzy Armstrong","Children","Jake Windass (2013)"
"132","Izzy Armstrong","First appearance","16th April 2010"
"133","Izzy Armstrong","Duration","2010 to present"
"134","Izzy Armstrong","Number of appearances","770 (as of Episode 10823/4)"
"135","Izzy Armstrong","Played by","Cherylee Houston"
"136","Jamie Armstrong","Born","18th February 1984"
"137","Jamie Armstrong","Father","Carl Armstrong"
"138","Jamie Armstrong","Mother","Tricia Armstrong"
"139","Jamie Armstrong","Sibling(s)","Brad Armstrong (half-brother)"
"140","Jamie Armstrong","First appearance","7th March 1994"
"141","Jamie Armstrong","Last appearance","2nd May 1997"
