"","char.name","char.stat","char.value"
"1","Aamal Rahman","Portrayed by","Uncredited (search)"
"2","Aamal Rahman","Introduced by","Dominic Treadwell-Collins (2016)"
"3","Aamal Rahman","Gender"," Female"
"4","Aamal Rahman","Duration","2016"
"5","Aamal Rahman","Episode Count"," 1 "
"6","Aamal Rahman","Status","Alive"
"7","Aamal Rahman","Occupation","Teacher"
"8","Aamal Rahman","Classification","Former; guest"
"9","Aamal Rahman","Page Links:","What Links Here"
"10","Aaron Monroe","Alias","W23"
"11","Aaron Monroe","Portrayed by","Charlie Wernham"
"12","Aaron Monroe","Introduced by","Kate Oates (2021) Jon Sen (2021)"
"13","Aaron Monroe","Gender"," Male"
"14","Aaron Monroe","First Appearance","21 October 2021"
"15","Aaron Monroe","First Mentioned","27 September 2021"
"16","Aaron Monroe","Last Appearance","26 April 2022"
"17","Aaron Monroe","Credits","List of appearances"
"18","Aaron Monroe","Cause/Reason","Sent to prison in Newcastle"
"19","Aaron Monroe","Duration","2021-2022"
"20","Aaron Monroe","Episode Count"," 36 "
"21","Aaron Monroe","Doof Doof Count"," 4 "
"22","Aaron Monroe","Address","Prison"
"23","Aaron Monroe","Status","Alive"
"24","Aaron Monroe","Age","22"
"25","Aaron Monroe","Date of Birth","1999"
"26","Aaron Monroe","Occupation","Logistics businessman (formerly)Gang member (formerly)"
"27","Aaron Monroe","Classification","Former; regular"
"28","Aaron Monroe","Romances","Jenny Stuart (before 2021) Tiffany Butcher-Baker (2021)"
"29","Aaron Monroe","Father","Harvey Monroe"
"30","Aaron Monroe","Mother","Mrs Monroe"
"31","Aaron Monroe","Sisters","Dana Monroe"
"32","Aaron Monroe","Grandmothers","Unseen (deceased)"
"33","Aaron Monroe","Aunts","Fern Monroe"
"34","Aaron Monroe","Page Links:","What Links Here"
"35","Aaron Palmer","Portrayed by","Jude Clark"
"36","Aaron Palmer","Introduced by","Sean O'Connor (2017)"
"37","Aaron Palmer","Gender"," Male"
"38","Aaron Palmer","Appears on","20 January 2017 - Part 2"
"39","Aaron Palmer","Duration","2017"
"40","Aaron Palmer","Episode Count"," 1 "
"41","Aaron Palmer","Status","Alive"
"42","Aaron Palmer","Occupation","Student"
"43","Aaron Palmer","Classification","Former; guest"
"44","Aaron Palmer","Father","Tony Palmer (deceased)"
"45","Aaron Palmer","Mother","Antoinette Giroux"
"46","Aaron Palmer","Page Links:","What Links Here"
"47","Abi Branning","Birth","Abigail Branning"
"48","Abi Branning","Nicknames","Abs"
"49","Abi Branning","Portrayed by","Lorna Fitzgerald"
"50","Abi Branning","Introduced by","Kate Harwood (2006)"
"51","Abi Branning","Spin-off Appearances","Dorothy Branning: The Next Chapter (2013)"
"52","Abi Branning","Gender"," Female"
"53","Abi Branning","First Appearance","3 July 2006"
"54","Abi Branning","Last Appearance","19 January 2018"
"55","Abi Branning","Credits","List of appearances"
"56","Abi Branning","Cause/Reason","Life support withdrawn after being declared brainstem dead when she fell from The Queen Victoria roof"
"57","Abi Branning","Duration","2006-2018"
"58","Abi Branning","Episode Count"," 950 "
"59","Abi Branning","Doof Doof Count"," 19 "
"60","Abi Branning","Address","25 Albert Square"
"61","Abi Branning","Status","Deceased"
"62","Abi Branning","Age","21"
"63","Abi Branning","Date of Birth","23rd June 1996"
"64","Abi Branning","Date of Death","19 January 2018"
"65","Abi Branning","Occupation","Kitchen assistant"
"66","Abi Branning","Classification","Former; regular"
"67","Abi Branning","Fiancé","Jay Brown (2012)"
"68","Abi Branning","Romances","Jordan Johnson (2009-2010; deceased) Jay Brown (2011-2014)Ben Mitchell (2014-2016)Lee Carter (2016; affair)Josh Hemmings (2017)Tommy (2017)Niall (2017)Steven Beale (2017; affair; deceased)"
"69","Abi Branning","Daughters","Abi Branning Jr"
"70","Abi Branning","Father","Max Branning"
"71","Abi Branning","Mother","Tanya Cross"
"72","Abi Branning","Stepfather","Greg Jessop (2011-2012)"
"73","Abi Branning","Stepmother","Kirsty Branning (2011-2014)"
"74","Abi Branning","Brothers","Oscar Branning"
"75","Abi Branning","Sisters","Lauren Branning"
"76","Abi Branning","Sister-in-law","Stacey Branning (2007-2009, 2010)"
"77","Abi Branning","Half-Brothers","Bradley Branning (deceased)"
"78","Abi Branning","Half-Sisters","Annie Carter"
"79","Abi Branning","Grandfathers","Jim Branning (deceased) William Cross (deceased)"
